"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"element_type";"team";"dato"
68;"247408.jpg";"Leite";3376;"a";247408;"Bruno";"Leite";16;"";60;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.8";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-01
69;"113563.jpg";"McDermott";3835;"a";113563;"Sean";"McDermott";1;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"14.4";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;1;4;2017-04-01
70;"81858.jpg";"Månsson";3835;"d";81858;"Conny";"Månsson";23;"Kneskade";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.0";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;1;4;2017-04-01
71;"91120.jpg";"Aasbak";3835;"a";91120;"Christofer";"Aasbak";3;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.8";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;4;2017-04-01
72;"95512.jpg";"Dan Ulvestad";3835;"a";95512;"Dan Peter";"Ulvestad";5;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"2.0";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;4;2017-04-01
73;"156434.jpg";"Coly";3835;"a";156434;"Aliou";"Coly";99;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"4.1";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;4;2017-04-01
74;"245729.jpg";"Sivertsen";3835;"i";245729;"Erlend";"Sivertsen";15;"Akillesskade";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.2";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;4;2017-04-01
75;"159994.jpg";"Gjesdal";3835;"a";159994;"Henrik ";"Gjesdal";25;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.5";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;4;2017-04-01
76;"245731.jpg";"Bjerkås";3835;"a";245731;"Joakim";"Bjerkås";2;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"2.6";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;4;2017-04-01
77;"245735.jpg";"Nerland";3835;"a";245735;"Olav";"Mahle Nerland";49;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.2";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;4;2017-04-01
78;"245733.jpg";"Hopmark";3835;"a";245733;"Andreas";"Hopmark";19;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"0.3";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;2;4;2017-04-01
79;"63900.jpg";"Torske";3835;"a";63900;"Tor Erik";"Torske";6;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.0";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"1.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;4;2017-04-01
80;"66338.jpg";"Kalludra";3835;"a";66338;"Liridon";"Kalludra";9;"";60;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;"1.4";"0.0";0;0;0;0;0;0;0;0;0;0;"0.0";NA;"2.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;3;4;2017-04-01
