"id";"kickoff_time";"kickoff_time_formatted";"team_h_score";"team_a_score";"was_home";"round";"total_points";"value";"transfers_balance";"selected";"transfers_in";"transfers_out";"loaned_in";"loaned_out";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element";"fixture";"opponent_team";"id_player";"dato"
50;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;1;50;0;1742;0;0;0;0;90;0;0;0;3;0;0;0;0;0;0;0;50;6;13;50;2017-04-08
480;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;-1;50;-54;1787;18;72;0;0;90;0;0;0;3;0;0;0;0;0;0;1;50;16;15;50;2017-04-08
51;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;50;0;476;0;0;0;0;90;0;0;0;3;0;0;1;0;0;0;0;51;6;13;51;2017-04-08
481;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;1;50;-22;481;3;25;0;0;90;0;0;0;3;0;0;0;0;0;0;0;51;16;15;51;2017-04-08
52;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;1;55;0;3072;0;0;0;0;90;0;0;0;3;0;0;0;0;0;0;0;52;6;13;52;2017-04-08
482;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;1;55;-157;3030;12;169;0;0;90;0;0;0;3;0;0;0;0;0;0;0;52;16;15;52;2017-04-08
53;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;6;13;53;2017-04-08
483;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;0;45;-56;512;4;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;16;15;53;2017-04-08
54;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;50;0;467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;6;13;54;2017-04-08
484;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;0;50;-25;467;3;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;16;15;54;2017-04-08
55;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;2;85;0;6293;0;0;0;0;90;0;0;0;3;0;0;0;0;0;0;0;55;6;13;55;2017-04-08
485;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;5;85;-222;6552;74;296;0;0;90;0;1;0;3;0;0;0;0;0;0;0;55;16;15;55;2017-04-08
56;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;1;80;0;1421;0;0;0;0;90;0;0;0;3;0;0;1;0;0;0;0;56;6;13;56;2017-04-08
486;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;2;80;-77;1438;13;90;0;0;90;0;0;0;3;0;0;0;0;0;0;0;56;16;15;56;2017-04-08
57;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;50;0;535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;6;13;57;2017-04-08
487;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;3;50;-61;516;7;68;0;0;80;0;0;0;3;0;0;0;0;0;1;0;57;16;15;57;2017-04-08
58;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;2;75;0;2530;0;0;0;0;90;0;0;0;3;0;0;0;0;0;0;0;58;6;13;58;2017-04-08
488;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;2;75;-69;2610;42;111;0;0;90;0;0;0;3;0;0;0;0;0;0;0;58;16;15;58;2017-04-08
59;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;1;50;0;758;0;0;0;0;56;0;0;0;2;0;0;0;0;0;0;0;59;6;13;59;2017-04-08
489;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;2;50;-33;770;15;48;0;0;90;0;0;0;3;0;0;0;0;0;0;0;59;16;15;59;2017-04-08
60;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;6;13;60;2017-04-08
