"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn";"team_1";"team_2";"team_now";"solution_full";"solution_incremental";"team_3"
41;"126317.jpg";"Heltne Nilsen";303;"a";126317;"Sivert";"Heltne Nilsen";23;"";55;NA;NA;"0.4";"1.3";0;0;0;0;FALSE;0;4,6;"2.3";237;394;35;22;0;0;0;0;7;1;"2.3";"2.0";"2.0";FALSE;270;0;0;1;2;0;0;1;0;0;1;0;3;2;2017-04-10;"Sivert Heltne Nilsen";"Midtbane";"BRA";1;1;1;0;1;1
42;"223091.jpg";"Stenevik";303;"a";223091;"Halldor";"Stenevik";20;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;1,2;"0.0";128;26;20;6;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-10;"Halldor Stenevik";"Midtbane";"BRA";0;0;0;0;0;0
43;"14575.jpg";"Karadas";303;"a";14575;"Azar";"Karadas";18;"";59;NA;NA;"0.0";"0.0";-1;0;1;0;FALSE;0;1;"0.0";307;20;33;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;13;0;0;0;0;0;0;1;0;0;0;0;4;2;2017-04-10;"Azar Karadas";"Angrep";"BRA";0;0;0;0;0;0
44;"66534.jpg";"Orlov";303;"a";66534;"Jakob";"Orlov";10;"";76;NA;NA;"0.8";"2.4";1;1;-1;-1;FALSE;0;7,1;"6.0";210;1643;32;213;0;0;0;0;18;2;"6.0";"6.0";"6.0";FALSE;169;2;1;2;0;0;0;0;0;0;2;0;4;2;2017-04-10;"Jakob Orlov";"Angrep";"BRA";0;0;0;0;0;0
45;"221232.jpg";"Skålevik";303;"a";221232;"Steffen";"Skålevik";11;"";69;NA;NA;"0.1";"0.3";-1;0;1;0;FALSE;0;0,9;"0.7";263;22;16;1;0;0;0;0;2;0;"1.0";"1.0";"1.0";FALSE;30;0;0;0;1;0;0;0;0;0;0;0;4;2;2017-04-10;"Steffen Skålevik";"Angrep";"BRA";0;0;0;0;0;0
46;"62015.jpg";"Børven";303;"a";62015;"Torgeir";"Børven";22;"";89;NA;NA;"0.3";"0.8";-1;0;1;0;FALSE;0;5,6;"2.3";1390;118;109;14;0;0;0;0;7;1;"2.3";"2.0";"2.0";FALSE;101;0;1;1;2;0;0;0;0;0;0;0;4;2;2017-04-10;"Torgeir Børven";"Angrep";"BRA";0;0;0;0;0;0
47;"108130.jpg";"Sandvik";3376;"a";108130;"Helge";"Sandvik";12;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,4;"0.0";23;3;2;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2017-04-10;"Helge Sandvik";"Keeper";"FKH";0;0;0;0;0;0
48;"124132.jpg";"Bråtveit";3376;"a";124132;"Per Kristian";"Bråtveit";1;"";50;NA;NA;"0.7";"2.2";0;0;0;0;FALSE;0;2,6;"3.7";156;81;27;36;0;0;0;0;11;8;"3.7";"4.0";"4.0";FALSE;270;0;0;1;6;0;0;0;0;10;1;0;1;3;2017-04-10;"Per Kristian Bråtveit";"Keeper";"FKH";0;0;0;0;0;0
49;"209224.jpg";"Børreson Fossdal";3376;"a";209224;"Herman";"Børreson Fossdal";24;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,9;"0.0";34;21;9;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2017-04-10;"Herman Børreson Fossdal";"Keeper";"FKH";0;0;0;0;0;0
50;"63878.jpg";"Skjerve";3376;"a";63878;"Vegard";"Skjerve";18;"";50;NA;NA;"0.4";"1.2";0;0;0;0;FALSE;0;2,5;"2.0";226;29;29;2;0;0;0;0;6;6;"2.0";"2.0";"2.0";FALSE;270;0;0;1;6;0;0;0;0;0;0;1;2;3;2017-04-10;"Vegard Skjerve";"Forsvar";"FKH";0;0;0;0;0;0
51;"81786.jpg";"Andreassen";3376;"a";81786;"Tor Arne";"Andreassen";11;"";50;NA;NA;"0.1";"0.4";0;0;0;0;FALSE;0;0,7;"0.7";62;8;11;1;0;0;0;0;2;1;"0.7";"1.0";"1.0";FALSE;196;0;0;0;6;0;0;1;0;0;0;0;2;3;2017-04-10;"Tor Arne Andreassen";"Forsvar";"FKH";0;0;0;0;0;0
52;"179304.jpg";"Stølås";3376;"a";179304;"Alexander";"Stølås";22;"";55;NA;NA;"0.5";"1.5";0;0;0;0;FALSE;0;4,2;"2.7";461;28;62;8;0;0;0;0;8;6;"2.7";"3.0";"3.0";FALSE;270;0;0;1;6;0;0;0;0;0;0;0;2;3;2017-04-10;"Alexander Stølås";"Forsvar";"FKH";0;0;0;0;0;0
53;"224083.jpg";"Izuchukwu";3376;"i";224083;"Anthony";"Izuchukwu";15;"Korsbånd - Over sommeren";44;NA;NA;"0.0";"0.0";-1;-1;1;1;FALSE;0;0,5;"0.0";216;5;18;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2017-04-10;"Anthony Izuchukwu";"Forsvar";"FKH";0;0;0;0;0;0
54;"245578.jpg";"Knudsen";3376;"a";245578;"Fredrik";"Knudsen";4;"";50;NA;NA;"0.6";"1.8";0;0;0;0;FALSE;0;0,7;"3.0";74;13;5;9;0;0;0;0;9;9;"9.0";"3.0";"3.0";FALSE;90;0;0;1;0;0;0;0;0;0;3;0;2;3;2017-04-10;"Fredrik Knudsen";"Forsvar";"FKH";0;0;0;0;0;0
55;"48513.jpg";"Huseklepp";3376;"a";48513;"Erik";"Huseklepp";10;"";85;NA;NA;"0.5";"1.5";0;0;0;0;FALSE;0;9,9;"4.3";661;302;82;139;0;0;0;0;13;6;"4.3";"4.0";"4.0";FALSE;270;0;2;1;6;0;0;0;0;0;0;0;3;3;2017-04-10;"Erik Huseklepp";"Midtbane";"FKH";0;0;0;0;0;0
56;"67242.jpg";"Kiss";3376;"a";67242;"Filip";"Kiss";6;"";80;NA;NA;"0.3";"0.8";0;0;0;0;FALSE;0;1,9;"2.0";283;28;66;2;0;0;0;0;6;3;"2.0";"2.0";"2.0";FALSE;270;0;0;1;6;0;0;1;0;0;0;0;3;3;2017-04-10;"Filip Kiss";"Midtbane";"FKH";0;0;0;0;0;0
57;"81788.jpg";"Mæland";3376;"a";81788;"Eirik";"Mæland";13;"";50;NA;NA;"0.2";"0.6";0;0;0;0;FALSE;0;0,8;"1.0";119;39;14;3;0;0;0;0;3;0;"3.0";"1.0";"1.0";FALSE;80;0;0;0;3;0;0;0;0;0;1;0;3;3;2017-04-10;"Eirik Mæland";"Midtbane";"FKH";0;0;0;0;0;0
58;"118808.jpg";"Hajradinovic";3376;"a";118808;"Haris";"Hajradinovic";23;"";75;NA;NA;"0.3";"0.9";0;0;0;0;FALSE;0;3,6;"2.3";345;67;75;3;0;0;0;0;7;3;"2.3";"2.0";"2.0";FALSE;270;0;0;1;6;0;0;0;0;0;0;0;3;3;2017-04-10;"Haris Hajradinovic";"Midtbane";"FKH";0;0;0;0;0;0
59;"156595.jpg";"Tronstad";3376;"a";156595;"Sondre";"Tronstad";8;"";50;NA;NA;"0.4";"1.2";0;0;0;0;FALSE;0;1,1;"2.0";105;48;17;7;0;0;0;0;6;3;"2.0";"2.0";"2.0";FALSE;236;0;0;1;5;0;0;0;0;0;0;0;3;3;2017-04-10;"Sondre Tronstad";"Midtbane";"FKH";0;0;0;0;0;0
60;"208396.jpg";"Kling";3376;"a";208396;"Robert";"Kling";29;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,8;"0.0";70;12;14;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-10;"Robert Kling";"Midtbane";"FKH";0;0;0;0;0;0
61;"226887.jpg";"Horneland";3376;"a";226887;"Thomas";"Horneland";30;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,4;"0.0";40;11;6;2;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-10;"Thomas Horneland";"Midtbane";"FKH";0;0;0;0;0;0
62;"232031.jpg";"Gunnarshaug";3376;"a";232031;"Kristoff";"Gunnarshaug";31;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,3;"0.0";30;5;2;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-10;"Kristoff Gunnarshaug";"Midtbane";"FKH";0;0;0;0;0;0
63;"53370.jpg";"Abdi";3376;"a";53370;"Liban";"Abdi";7;"";60;NA;NA;"0.2";"0.7";0;0;0;0;FALSE;0;0,6;"1.3";207;20;5;7;0;0;0;0;4;5;"2.0";"1.0";"1.0";FALSE;132;1;0;1;3;0;0;1;1;0;1;0;4;3;2017-04-10;"Liban Abdi";"Angrep";"FKH";0;0;0;0;0;0
